,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO
238,70001692,CARTUCHO Ø8MM X 260MM 500W 220V,543.0,113.69
239,70001690,CARTUCHO Ø 8 MM X 500 MM 500 W 220 V,509.0,161.1
240,70001684,CARTUCHO Ø 10 MM X 460 MM 500W 220V,1365.0,131.71
241,P214F1AB0600,"PT-100 1/4""ØX4"" CON1/2""-1/2"" NPT C/MARIN",1015.0,0.0
242,CS12F1040A00,"CAS INOX 1/2""ØX3"" 400W 127V EXT.30CM",562.32,88.95
243,TUE00339,"TUB INOX 1/4""ØX135MM 700W127V ESPIRAL 4V",1125.0,7342.41
244,BP00206,BAN P INOX 250MMX290MM 2000W 220V EXT2MT,1485.0,0.0
245,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,339.43
246,TUE00075,"TUB INOX 5/16""ØX700MM 780W 220V ""M"" ESPE",625.2,29.29
247,CS12G1040A00,"CAS INOX 1/2""ØX3 1/2"" 400W 127V EXT.30CM",565.4,90.42
248,TUS00113,"TUB INOX 1/4""ØX80CM 800W127V RECTA T/ZAP",498.77,0.0
249,TUE00176,"TUB INOX 5/16""ØX1550MM ""CLIP"" 7000W 220V",2508.7,0.0
250,PJ14F1L1A800,"TER J 1/4""ØX4"" CON1/2""-1/2"" NPT EXT.8MT",1028.35,0.0
251,TUE00132,"TUB INOX 1/2""Øx410mm J 11KW 240V PLAQUIT",1265.2,0.0
252,TUS00005,"TUB INOX716Øx1421mm LONG ""M"" 3000W/220V""",799.1,0.0
253,TUE00338,"TUB INOX 3/8""ØX158MM 2000W 127V CIRCULAR",1156.5,0.0
254,TUE00337,"TUB INOX 5/16""ØX42CM 3650W280V ESP/PLAC",992.25,173.44
255,TUS00029,"TUB INOX 5/16""Øx310MM ""U"" 800W110V T/TOR",358.7,0.0
256,BB00017,"BB Ø1.766""X1.432""  250W220V 3H TPLICA 1M",1498.16,0.0
257,BB00018,"BB Ø4.5""X1.265"" 500W 220V 3 H T PLICA 1M",1599.5,0.0
258,BN00002,"BAN MICA 1.766Øx1.432"" 250W 220V C/TERM""",1455.25,0.0
259,BN00003,"BAN MICA 4.500Øx1.265"" 500W 220V C/TERM""",1398.79,0.0
260,BL00038,BAN M/LUNA 220MMØX215MM 2950W230V ALLEN,1472.0,0.0
261,PJ31Q1G3A100,"TER J 3/16""ØX1/2"" EXT3MT C/PLICA BAY1GIR",398.85,236.98
262,TUA00426,"TUB INOX 7/16""ØX34CM 1800W240V ""U"" ALE-B",1229.88,0.0
263,PK14G1D1G300,"TER K 1/4""ØX8"" EXT.1MT RES-PIA C/CLAVIJA",1020.0,0.0
264,TUE00075,"TUB INOX 5/16""ØX700MM 780W 220V ""M"" ESPE",625.2,0.0
265,TUE00198,"TUB INOX 5/16""ØX795MM 780W 120V T/TORNI",468.97,33.9
266,BC00026,BC PLANA 13CMX20CM 1500W240V OCTAGONAL,2524.5,688.31
267,TUE00307,"TUB COBRE 1/2""ØX218MM 700W 120V ELIPSE",1030.0,236.68
268,TUE00308,"TUB COBRE 7/16""ØX218MM 1500W 120V ELIPSE",1094.6,210.46
269,PT00082,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",2625.5,1214.3
270,BS00006,BP S/BLINDA 300MMX698MM 2500W 230V 18BA,3890.0,918.12
271,BS00008,BP S/BLINDA 300MMX698MM 2000W 230V 18BA,3890.0,0.0
272,BB2X2ST,"BOQUILLA 2X2""  350W 240V""",462.0,220.0
273,RP00181,REPARACION DE BRIDA DE 125KW 1240V DELTA,4315.0,0.0
274,TUE00337,"TUB INOX 5/16""ØX42CM 3650W280V ESP/PLAC",992.25,173.44
275,TK00028,"TER K 1/4""Øx79CM DOBLEZ 90° C.STD MAC/HE",519.0,78.24
276,TP0008,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT,512.36,211.36
277,TP0040,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,382.76,137.48
278,TUA00428,"TUB INOX 1/4""ØX443MM 500W220V RECTA-PLAC",560.04,0.0
279,TUA00143,"TUB 7/16""X46CMS U 1500W 480V. ESPECIAL",913.4,235.81
280,TUA00102,"TUB INOX 7/16""Øx1080MM ""U"" 5000W220V BUS",1255.2,370.94
281,P7J6C1D1A030,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M",337.7,0.0
282,TUA00431,"TUB INOX 7/16""ØX49CM 3000W127V ""U"" BUS",965.5,0.0
283,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,265.0,87.1
284,TUE00007,"TUB INOX 1/4""ØX370MM 7500W 220V ""U"" PLAC",2265.0,435.26
285,CS38F1010A00,"CAS INOX  3/8""ØX3"" 100W127 0V EXT.30CM",574.0,67.47
286,WRE-2137,BAN INOX 170MMØX55MM 1300W 440V C/STD,1103.0,122.14
287,BN00242,BAN INOX 57MMØX45MM 250W260V CINT/ALLEN,577.8,152.37
288,TUE00343,"TUB INOX 3/8""ØX75CM W MAX 480V ""M"" ESP",1330.68,0.0
289,BO00056,BOB 8020 CAL.16 19MMØX1170MM 5300W 240V,800.0,216.65
290,TEE00017,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA",2218.27,1246.35
291,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",470.0,143.8
292,TU5/16X203V,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",594.83,326.23
293,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,212.44
294,TUE00341,"TUB INOX 1/2""ØX293MM 2500W240V ""M"" ESPEC",980.6,317.3
295,TUE00341,"TUB INOX 1/2""ØX293MM 2500W240V ""M"" ESPEC",980.6,317.3
296,TUA00430,"TUB INOX 1/2""ØX34CM 2000W 240V ""U"" ALETA",1405.25,269.6
297,CS14D2017B20,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ",812.53,0.0
298,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,375.29,87.1
299,TEA00006,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,119.05
300,TUE00042,"TUB. ESP. 5/16 1200W 120V TERM 90° 3""""",1666.85,1666.85
301,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",470.0,143.8
302,RM00017,"BOBINA 8020 110W 110V EN/TUBO INOX2""X30""",4650.5,2644.78
303,TUA00134,"TUB ""J"" Ø 8 MM X 240 CM 5500 W 220 V",1551.2,303.31
304,PT00063,PT-100 6MMØX110MM CONECTOR EXT15MTS,1548.0,673.14
305,TUA00432,"TUB INOX 7/16""ØX60CM 9000W240V 2 1/2""NPT",4508.2,0.0
306,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",462.0,220.0
307,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,107.76,38.96
308,TUA00371,"TUB INOX 5/16""ØX430MM 6000W 230V",2377.0,417.45
309,CAS00075,"CAS INOX 1/2""ØX51.5CM 400W240V EXT1M SOG",839.28,261.77
310,CAS00076,"CAS INOX 5/8""ØX72CM 2670W 480V EXT.30CM",1078.5,0.0
311,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,220.0
312,TUA00175,"TUB Ø 7/16 X 71 CM LONG ""U"" 3600W440V",2359.7,377.29
313,TUA00241,"TUB INOX 5/16""ØX23CM ELIPSE 985W120V BUS",970.0,145.03
314,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,212.44
315,TUA00222,"TUB INOX 5/16""Øx40CMS U 2000W 220V TAPON",1215.5,358.0
316,TUE00333,"TUB INOX 5/16""ØX437MM 1000W127V ""M"" ESPE",1910.0,97.81
317,TUA00421,"TUB INOX 3/8""ØX38CM 6000W240V ""U"" PLACA",1520.25,525.52
318,TUE00103,"TUE ""J"" INOX Ø 5/16 X 33 CM 5000 W 240 V",1350.0,248.65
319,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",375.0,44.14
320,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",462.0,220.0
321,TUE00340,"TUB INOX 5/16""ØX56CM 5KW240V M ESP/CABLE",1410.6,281.63
322,BS00011,BP S/BLINDAJE 94MMX102MM 250W120V 25CM C,358.0,0.0
323,TUA00124,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",1608.0,541.44
324,TUS00115,"TUB INOX 1/4""ØX29CM 160W127V RECTA/PLACA",448.6,0.0
325,BL00022,BAN M/LUNA 208MMØX108MM 530W120V C/CINTU,710.0,112.11
326,PT00047,"PT-100 3/16""Øx3 1/2"" LONG EXT3MTS,3HILOS",647.1,0.0
327,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,761.07
328,TP0010,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT,337.0,106.55
329,TUA00429,"TUB INOX 5/16""ØX46CM 3000W240V 11/4""NPT",1953.26,626.37
330,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",498.0,143.8
331,TUA00419,"TUB COBRE 7/16""ØX495MM U 3000W127V PLAC",2005.5,327.61
332,BE00016,BAN M/LUNA 123MMØX107MM 600W 230V ESPECI,568.97,0.0
333,BL00054,BAN M/LUNA 208MMØX143MM 600W110V T/TOR,850.0,174.73
334,BO00058,"BOB DSD CAL.10 3/4""ØX1085MM 4000W127V",932.5,300.96
335,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
336,TUA00422,"TUB INOX 7/16""ØX42CM 3000W240V ""M"" BUS",1179.25,319.43
337,TUA00422,"TUB INOX 7/16""ØX42CM 3000W240V ""M"" BUS",1179.25,319.43
338,TUA00424,"TUB INOX 5/16""ØX38CM 3000W240V ""U"" TAP",1848.4,417.02
339,TUA00424,"TUB INOX 5/16""ØX38CM 3000W240V ""U"" TAP",1848.4,417.02
340,BP00089,BAND P INOX 175MMx90MM 300W 110V TORNILL,497.2,66.08
341,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,212.44
342,P114I1D4A000,"PT-100 1/4""ØX12"" EXT1MT TEFLON 2 HILOS",659.48,98.65
343,BP00257,"BAN P INOX 11/2""X17"" 800W240V ESP-1/4""",375.0,64.98
344,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,94.5,38.96
345,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.0,51.36
346,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,98.0,38.96
347,RP00165,REPARACION DE BATIDOR 16.6KW 440V,14000.0,5211.65
348,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",732.0,222.0
349,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,200.3
350,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,265.08,87.1
351,TUA00433,"TUB INOX 1/2""ØX1015MM 5KW 240V ""U"" ALETA",2835.0,0.0
352,CBE00028,"CB 3/4 X41"" DE LARGO 1300W 220 V",1247.5,0.0
353,TK00034,"TER K 3/16""Øx7mm LONG EXT. 5 MTS T/PLICA",850.2,519.02
354,BP00259,"BAN P INOX 5 1/2""X5 1/2"" 660W220V EX30CM",485.3,0.0
355,BP00260,"BAN P INOX 5 1/2""X4 1/2"" 600W220V ESPEC",570.3,0.0
356,TUA00200,"TUB INOX. 5/16""Øx510mm CLIP 9KW 230V TAP",3096.5,1282.76
357,TUE00161,"TUB INOX 1/4""Øx150MM 900W 220V ESP/NAYLA",1784.0,116.97
358,RP00182,REPARACION DE HORNO 3500W220V,7903.2,0.0
359,TUA00099,"TUB ""U""7/16""ØX835mm EN BRIDA3""18KW440V.",3349.0,0.0
360,PA00001,"P.CUARZO 19""LARGOx10"" ANCHO 5KW 480V",6900.0,0.0
361,TR51G1125A00,"TUB INOX 5/16""ØX120CM 1250W 127V T/TOR",585.13,97.0
362,CS12E2040A00,"CAS INOX 1/2""ØX 2 1/2"" 400W220V EXT.30CM",561.0,71.53
363,CS12F2040A00,"CAS INOX 1/2""ØX3"" 400W 240V EXT.30CM",561.0,88.34
364,TK00063,TK 6MMØX80CM EXT.50CM DOBLEZ 90° 4 HILOS,710.0,228.89
365,BL00001,BAN M/L COMUN 137mmØx82mm 800W 220V,579.66,0.0
366,BP00258,"BAN P COMUN 1""X48"" 1000W 240V EXT.30CM",800.0,0.0
367,EE00003,RES EN CINTA NICRO4.0X0.101-2.8OHMS LAMI,395.0,0.0
368,BOE00012,BOE 45MMØX1360MM 3500W440V ROCHETA,3040.48,1137.06
369,BOE00013,BOE 45MMØX900MM 3500W440V ROCHETA,2366.63,698.18
370,TP0008,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT,691.68,211.36
371,TP0022,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT,862.33,410.21
372,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,120.0,38.96
373,BO00005,BO ABIERTA ALAMBRE CAL. 6 40 KW 440 V,18500.0,0.0
374,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,150.0,0.0
375,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,190.52,71.25
376,TEA00016,"TEA K Ø3/4""X450MM NPT3/4"" CAB M STD",1850.0,0.0
377,RP00184,REPARACION DE TUBO DE CUARZO 500W127V,636.21,102.22
378,TEA00017,"TERMOPAR ""K"" C/ELEMENTO CAL.8 X750 MM",918.0,0.0
379,BN00248,"BAN COMUN  5""ØX6"" 1800W 240V  C/ALLEN",525.0,97.46
380,BN00249,"BAN COMUN 5""ØX4"" 1500W 240V C/ALLEN",495.0,172.28
381,BN00250,BAN COMUN 178MMØX71MM ANCHO 1300W 240V,354.5,155.02
382,BN00251,BAN COMUN 296MMØX71MM 2500W240V C/STD,354.5,177.36
383,BP00149,"BAN P INOX 11/2""x85"" LONG 2200W 220V 9BA",2198.58,216.46
384,BP00150,"BAN P INOX 1 1/2"" x50"" LONG 1200W 220V",1260.48,213.66
385,BE00011,"BAN P INOX 1 1/2""X12"" 240V W-MAX",780.25,37.66
386,BE00012,"BAN P INOX 1 1/2""X14"" 240V W-MAX",799.12,44.54
387,BE00013,"BAN P INOX 1 1/2""X16"" 240V W-MAX",821.89,48.09
388,BE00015,"BAN P INOX 1 1/2""X18"" 240V W-MAX",839.43,51.09
389,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,190.52,72.37
390,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",435.0,220.0
391,TUS00116,"TUB INOX 5/16""ØX45CM 750W 120V ""U"" T/TOR",527.59,64.91
392,TUS00118,"TUB INOX 3/8""ØX120CM 2083W 220V ""U"" TORN",1205.0,258.43
393,TP0015,"TERMOPAR CERAMICO T/K"" LONG 18"" CAL 8""",704.5,173.0
394,TUE00319,"TUB INCOLOY 7/16""ØX305CM 2300W380V ESPEC",4150.0,0.0
395,151.7208,TUB INOX 8MMØX3650MM 1134W 230V RECTA,778.17,391.24
396,TUA00096,"TUB INOX 5/16""ØX120MM 1200W220V ""J"" PLAC",907.5,116.73
397,TP0024,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT""",165.0,48.49
398,TP0022,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT,862.35,410.21
399,TUE00025,"TUB COBRE 5/16""Øx145CM  1500W120V PLAC",1551.72,316.4
400,MA00016,"MAQUINADO DE PERNO 9/32""ØX20MM LATON",538.79,6.69
401,RP00180,REPARACION DE CREPERA-FAB CAJA DE CONEXI,387.93,24.0
402,RP00171,REPARACION DE CREPERA,1020.0,258.21
403,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,340.8
404,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",445.0,220.0
405,TUA00219,"TUB INOX. ALETA 7/16""Øx693mm 2000W 440 B",1513.0,0.0
406,TUS00020,"TUB INOX 5/16""Øx64CMS 700W220V.",500.5,0.0
407,TUA00434,"TUB INOX 5/16""ØX25CM 1650W220V M ESP/BUS",1056.03,244.91
408,CS12F1040A00,"CAS INOX 1/2""ØX3"" 400W 127V EXT.30CM",562.5,88.95
409,CS12H1050A00,"CAS INOX 1/2""ØX4"" 500W 127V EXT30CM",646.6,91.21
410,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,366.1
411,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,736.48
412,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,356.75
413,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,0.0
414,TP00019,TIRA INOX 38MMX1012MM 2000W 240V T/TIPOH,620.0,0.0
415,TUE00162,"TUB INOX. 5/16""Øx330mm U 6KW 440V PLACA",1899.85,0.0
416,TUE00348,"TUB INOX 1/4""ØX355MM 4500W230V ES PLA-NV",2458.45,0.0
417,TUE00105,"TUB INOX 1/2""Øx68CM U 4000W 220V PLACA C",4956.73,0.0
418,TUS00035,"TUB INOX 3/8""Øx810mm LONG RECTA 500W220V",657.5,88.74
419,GAB00014,GABINETE ELECTRICO DE 50X40X20 70KW 440V,20887.18,0.0
420,TUA00376,"TUB INOX 1/2""ØX147CM 35KW480V 2 1/2"" NPT",7137.0,2935.26
421,TP0040,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,435.72,137.48
422,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,120.09,42.79
423,BP00251,"BAN P INOX 10 1/4""X4 1/2"" 350W127V 1-IZQ",633.6,112.24
424,BP00252,"BAN P INOX 10 1/4""X4 1/2"" 350W 127V T-TO",564.71,111.07
425,BP00253,"BAN P INOX 10 1/4""X4 1/2"" 350W127V 3-DER",633.6,112.24
426,BP00254,"BAN P INOX 9 1/4""X4 1/4"" 350W127V 2/TOR",498.65,59.54
427,BP00255,"BAN P INOX 10""X 4 1/2"" 350W127V 1-IZQ",616.0,110.37
428,BP00256,"BAN P INOX 10""X4 1/2"" 350W127V 3-DER",598.0,110.37
429,RP00187,REPARACION PISTOLA DE CALOR 1680W 120V,862.0,90.16
430,TUS00002,"TUB RECTA 1/2""ØX800MMLON 1000W 73V T/TOR",705.5,106.52
431,TUS00001,"TUB RECTA 1/2øX800mm 950W 140V""",705.5,0.0
432,TUE00081,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC",2278.45,359.16
433,TUA00175,"TUB Ø 7/16 X 71 CM LONG ""U"" 3600W440V",2359.7,377.29
434,TUS00117,"TUB INOX 7/16""ØX35CM 1500W127V ""M"" ESP",1105.6,0.0
435,BC00010,"BC PLANA 6""LARx4 1/4""ANC 2000W 220V C/TJ",2400.0,360.32
436,RP00150,REPARACION DE TERMOPAR,1500.0,0.36
437,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",435.0,220.0
438,MR01934,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53,0.0
439,BN00064,"BAN A COMUN 133MMØx11/2"" 900W 220V C/STD",405.2,0.0
440,TP0026,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 3 MT""",357.76,113.59
441,TUS00017,"TUB INOX 5/16""x625mm 950W 220V U",625.7,0.0
442,TUS00018,"TUB INOX. 5/16 Øx625mm 850W,220V U",625.7,0.0
443,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.45,51.36
444,E1041959,"TUB INOX 1/4""ØX62"" 950W 230V",204.08,0.0
445,BC00006,BC INOX 144MMØ X87MM 2100W 400V SIN/CAJA,1853.25,0.0
446,P231A1D6K200,"PT-100 3/16""ØX1"" EXT.1MT T/PLICA CLAV-3H",599.0,0.0
447,65014-38,CAE 12.5MMØx312.42MMLONG 90° 1200W 220V,1100.0,0.0
448,TUA00435,"TUB INOX 7/16""ØX26CM 1500W220V U 11/2""NP",1991.06,0.0
449,CM10E2050A00,CAS INOX 10MMØX60MM 500W 240V EXT30CM,535.12,0.0
450,TUA00420,"TUB INOX 7/16""ØX155CM 5KW 440V ""U"" 2""NPT",3929.11,0.0
451,EE00026,"FAB DE TERMOPOZO 1/2""ØX768MMLOGITUD",188.0,0.0
452,TU5/16X203V,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",650.0,321.87
453,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0,144.4
454,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",310.0,50.54
455,TUA00017,"TUB COBRE7/16Øx590mm ""U"" 5000W 220V C/B""",1063.83,0.0
456,TJ00046,TER J 6mmØx30mm 7 MTS DE LONG.,908.0,204.07
457,TP0024,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT""",163.0,48.49
458,TUE00342,"TUB INOX 7/16""ØX47CM 9000W220V PLAC",2325.0,0.0
459,TUE00103,"TUE ""J"" INOX Ø 5/16 X 33 CM 5000 W 240 V",1350.0,248.65
460,PJ14F10B0600,"TER J 1/4""ØX4"" CON 1/2""-1/2""NPT BLOCK-CA",1005.0,0.0
461,PJ14J10B0600,"TER J 1/4""ØX15CM CON 1/2""-1/2"" C/MARINA",1005.0,0.0
462,TUA00148,"TUB INOX 7/16""Øx80.5CMS U 12KW 240V TAPO",2849.5,1125.85
463,TUE00132,"TUB INOX 1/2""Øx410mm J 11KW 240V PLAQUIT",1265.09,432.3
464,P114Q1H90412,"PT-100 1/4""ØX1/2"" EXT.5MT BOY-2G 3 HILOS",900.69,0.0
465,TUS00119,"TUB INOX 5/16""ØX70CM 600W 127V RECTA",527.0,48.21
466,TUA00087,TUB ALETADA Ø 1/2 X 13 1/2 2000 W 220 V,1241.0,318.83
467,TUE00345,"TUB INOX 5/16""ØX27CM 2100W230V ""L"" PLACA",1120.69,133.09
468,TUE00248,"TUB INOX 5/16""ØX248MM CLIP 2400W 220V",780.0,160.64
469,TJ00090,"TER J 1/4""ØX5"" CON 1/2""-1/2""NPT C/MARINA",867.03,0.0
470,TUE00351,"TUB INOX 5/16""ØX177MMØ 1900W220V PAR 9O°",940.0,0.0
471,TUE00352,"TUB INOX 5/16""ØX177MMØ 1900W220V PARRILL",940.0,0.0
472,E1041968,"TUB INOX 1/4""ØX27"" 300W 230V",164.14,0.0
473,RP00183,REPARACION DE SECADOR 460W 120V,907.0,7.6
474,RP00137,REPARACION BANDA S/BLINDAJE 1068W 120V,659.6,107.68
475,TUA00124,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",1572.45,0.0
